naics_2_digits,naics_sector,naics_3_digits,naics_subsector,naics_4_digits,naics_industry_group,naics_5_digits,naics_industry
32,Manufacturing,324,Petroleum and Coal Products Manufacturing,3241,Petroleum and Coal Products Manufacturing,32419,Other Petroleum and Coal Products Manufacturing
33,Manufacturing,331,Primary Metal Manufacturing,3313,Alumina and Aluminum Production and Processing,33131,Alumina and Aluminum Production and Processing
33,Manufacturing,333,Machinery Manufacturing,3331,"Agriculture, Construction, and Mining Machinery Manufacturing",33311,Agricultural Implement Manufacturing
33,Manufacturing,334,Computer and Electronic Product Manufacturing,3341,Computer and Peripheral Equipment Manufacturing,33411,Computer and Peripheral Equipment Manufacturing
33,Manufacturing,336,Transportation Equipment Manufacturing,3364,Aerospace Product and Parts Manufacturing,33641,Aerospace Product and Parts Manufacturing
42,Wholesale Trade,424,"Merchant Wholesalers, Nondurable Goods",4244,Grocery and Related Product Merchant Wholesalers,42445,Confectionery Merchant Wholesalers
45,Retail Trade,452,General Merchandise Stores,4521,Department Stores,45211,Department Stores
48,Transportation and Warehousing,488,Support Activities for Transportation,4885,Freight Transportation Arrangement,48851,Freight Transportation Arrangement
52,Finance and Insurance,522,Credit Intermediation and Related Activities,5223,Activities Related to Credit Intermediation,52231,Mortgage and Nonmortgage Loan Brokers
54,"Professional, Scientific, and Technical Services",541,"Professional, Scientific, and Technical Services",5414,Specialized Design Services,54142,Industrial Design Services
56,Administrative and Support and Waste Management and Remediation Services,561,Administrative and Support Services,5614,Business Support Services,56143,Business Service Centers
62,Health Care and Social Assistance,621,Ambulatory Health Care Services,6214,Outpatient Care Centers,62149,Other Outpatient Care Centers
72,Accommodation and Food Services,722,Food Services and Drinking Places,7221,Full-Service Restaurants,72211,Full-Service Restaurants
81,Other Services (except Public Administration),813,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",8132,Grantmaking and Giving Services,81321,Grantmaking and Giving Services
11,"Agriculture, Forestry, Fishing and Hunting",111,Crop Production,1113,Fruit and Tree Nut Farming,11133,Noncitrus Fruit and Tree Nut Farming
22,Utilities,221,Utilities,2211,"Electric Power Generation, Transmission and Distribution",22111,Electric Power Generation
31,Manufacturing,314,Textile Product Mills,3141,Textile Furnishings Mills,31412,Curtain and Linen Mills
32,Manufacturing,321,Wood Product Manufacturing,3219,Other Wood Product Manufacturing,32199,All Other Wood Product Manufacturing
32,Manufacturing,325,Chemical Manufacturing,3251,Basic Chemical Manufacturing,32518,Other Basic Inorganic Chemical Manufacturing
32,Manufacturing,327,Nonmetallic Mineral Product Manufacturing,3273,Cement and Concrete Product Manufacturing,32733,"Concrete Pipe, Brick, and Block Manufacturing"
33,Manufacturing,332,Fabricated Metal Product Manufacturing,3329,Other Fabricated Metal Product Manufacturing,33291,Metal Valve Manufacturing
33,Manufacturing,333,Machinery Manufacturing,3339,Other General Purpose Machinery Manufacturing,33399,All Other General Purpose Machinery Manufacturing
33,Manufacturing,336,Transportation Equipment Manufacturing,3369,Other Transportation Equipment Manufacturing,33699,Other Transportation Equipment Manufacturing
42,Wholesale Trade,423,"Merchant Wholesalers, Durable Goods",4235,Metal and Mineral (except Petroleum) Merchant Wholesalers,42351,Metal Service Centers and Other Metal Merchant Wholesalers
44,Retail Trade,441,Motor Vehicle and Parts Dealers,4413,"Automotive Parts, Accessories, and Tire Stores",44131,Automotive Parts and Accessories Stores
45,Retail Trade,454,Nonstore Retailers,4541,Electronic Shopping and Mail-Order Houses,45411,Electronic Shopping and Mail-Order Houses
51,Information,511,Publishing Industries (except Internet),5111,"Newspaper, Periodical, Book, and Directory Publishers",51113,Book Publishers
53,Real Estate and Rental and Leasing,532,Rental and Leasing Services,5321,Automotive Equipment Rental and Leasing,53212,"Truck, Utility Trailer, and RV (Recreational Vehicle) Rental and Leasing"
54,"Professional, Scientific, and Technical Services",541,"Professional, Scientific, and Technical Services",5419,"Other Professional, Scientific, and Technical Services",54199,"All Other Professional, Scientific, and Technical Services"
71,"Arts, Entertainment, and Recreation",711,"Performing Arts, Spectator Sports, and Related Industries",7111,Performing Arts Companies,71119,Other Performing Arts Companies
81,Other Services (except Public Administration),813,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",8139,"Business, Professional, Labor, Political, and Similar Organizations",81391,Business Associations
92,Public Administration,927,Space Research and Technology,9271,Space Research and Technology,92711,Space Research and Technology
92,Public Administration,922,"Justice, Public Order, and Safety Activities",9221,"Justice, Public Order, and Safety Activities",92213,Legal Counsel and Prosecution
11,"Agriculture, Forestry, Fishing and Hunting",112,Animal Production and Aquaculture,1129,Other Animal Production,11291,Apiculture
23,Construction,237,Heavy and Civil Engineering Construction,2371,Utility System Construction,23712,Oil and Gas Pipeline and Related Structures Construction
31,Manufacturing,311,Food Manufacturing,3115,Dairy Product Manufacturing,31151,Dairy Product (except Frozen) Manufacturing
31,Manufacturing,313,Textile Mills,3132,Fabric Mills,31322,Narrow Fabric Mills and Schiffli Machine Embroidery
31,Manufacturing,315,Apparel Manufacturing,3152,Cut and Sew Apparel Manufacturing,31522,Men’s and Boys’ Cut and Sew Apparel Manufacturing
32,Manufacturing,322,Paper Manufacturing,3222,Converted Paper Product Manufacturing,32222,Paper Bag and Coated and Treated Paper Manufacturing
32,Manufacturing,325,Chemical Manufacturing,3254,Pharmaceutical and Medicine Manufacturing,32541,Pharmaceutical and Medicine Manufacturing
32,Manufacturing,327,Nonmetallic Mineral Product Manufacturing,3272,Glass and Glass Product Manufacturing,32721,Glass and Glass Product Manufacturing
33,Manufacturing,332,Fabricated Metal Product Manufacturing,3321,Forging and Stamping,33211,Forging and Stamping
33,Manufacturing,332,Fabricated Metal Product Manufacturing,3325,Hardware Manufacturing,33251,Hardware Manufacturing
33,Manufacturing,333,Machinery Manufacturing,3334,"Ventilation, Heating, Air-Conditioning, and Commercial Refrigeration Equipment Manufacturing",33341,"Ventilation, Heating, Air-Conditioning, and Commercial Refrigeration Equipment Manufacturing"
33,Manufacturing,335,"Electrical Equipment, Appliance, and Component Manufacturing",3352,Household Appliance Manufacturing,33521,Small Electrical Appliance Manufacturing
33,Manufacturing,336,Transportation Equipment Manufacturing,3363,Motor Vehicle Parts Manufacturing,33633,Motor Vehicle Steering and Suspension Components (except Spring) Manufacturing
33,Manufacturing,339,Miscellaneous Manufacturing,3399,Other Miscellaneous Manufacturing,33991,Jewelry and Silverware Manufacturing
42,Wholesale Trade,424,"Merchant Wholesalers, Nondurable Goods",4244,Grocery and Related Product Merchant Wholesalers,42446,Fish and Seafood Merchant Wholesalers
44,Retail Trade,446,Health and Personal Care Stores,4461,Health and Personal Care Stores,44619,Other Health and Personal Care Stores
48,Transportation and Warehousing,482,Rail Transportation,4821,Rail Transportation,48211,Rail Transportation
51,Information,516,Internet Publishing and Broadcasting,5161,Internet Publishing and Broadcasting,51611,Internet Publishing and Broadcasting
54,"Professional, Scientific, and Technical Services",541,"Professional, Scientific, and Technical Services",5416,"Management, Scientific, and Technical Consulting Services",54161,Management Consulting Services
61,Educational Services,611,Educational Services,6116,Other Schools and Instruction,61161,Fine Arts Schools
72,Accommodation and Food Services,722,Food Services and Drinking Places,7224,Drinking Places (Alcoholic Beverages),72241,Drinking Places (Alcoholic Beverages)
11,"Agriculture, Forestry, Fishing and Hunting",111,Crop Production,1113,Fruit and Tree Nut Farming,11133,Noncitrus Fruit and Tree Nut Farming
11,"Agriculture, Forestry, Fishing and Hunting",114,"Fishing, Hunting and Trapping",1141,Fishing,11411,Fishing
22,Utilities,221,Utilities,2213,"Water, Sewage and Other Systems",22132,Sewage Treatment Facilities
31,Manufacturing,311,Food Manufacturing,3112,Grain and Oilseed Milling,31122,Starch and Vegetable Fats and Oils Manufacturing
31,Manufacturing,315,Apparel Manufacturing,3152,Cut and Sew Apparel Manufacturing,31522,Men’s and Boys’ Cut and Sew Apparel Manufacturing
32,Manufacturing,325,Chemical Manufacturing,3252,"Resin, Synthetic Rubber, and Artificial and Synthetic Fibers and Filaments Manufacturing",32521,Resin and Synthetic Rubber Manufacturing
33,Manufacturing,331,Primary Metal Manufacturing,3314,Nonferrous Metal (except Aluminum) Production and Processing,33142,"Copper Rolling, Drawing, Extruding, and Alloying"
33,Manufacturing,333,Machinery Manufacturing,3332,Industrial Machinery Manufacturing,33329,Other Industrial Machinery Manufacturing
33,Manufacturing,333,Machinery Manufacturing,3339,Other General Purpose Machinery Manufacturing,33392,Material Handling Equipment Manufacturing
33,Manufacturing,336,Transportation Equipment Manufacturing,3361,Motor Vehicle Manufacturing,33611,Automobile and Light Duty Motor Vehicle Manufacturing
33,Manufacturing,339,Miscellaneous Manufacturing,3391,Medical Equipment and Supplies Manufacturing,33911,Medical Equipment and Supplies Manufacturing
42,Wholesale Trade,423,"Merchant Wholesalers, Durable Goods",4237,"Hardware, and Plumbing and Heating Equipment and Supplies Merchant Wholesalers",42372,Plumbing and Heating Equipment and Supplies (Hydronics) Merchant Wholesalers
44,Retail Trade,443,Electronics and Appliance Stores,4431,Electronics and Appliance Stores,44314,Electronics and Appliance Stores
45,Retail Trade,453,Miscellaneous Store Retailers,4539,Other Miscellaneous Store Retailers,45393,Manufactured (Mobile) Home Dealers
49,Transportation and Warehousing,492,Couriers and Messengers,4922,Local Messengers and Local Delivery,49221,Local Messengers and Local Delivery
52,Finance and Insurance,522,Credit Intermediation and Related Activities,5222,Nondepository Credit Intermediation,52229,Other Nondepository Credit Intermediation
53,Real Estate and Rental and Leasing,531,Real Estate,5311,Lessors of Real Estate,53119,Lessors of Other Real Estate Property
56,Administrative and Support and Waste Management and Remediation Services,561,Administrative and Support Services,5617,Services to Buildings and Dwellings,56171,Exterminating and Pest Control Services
71,"Arts, Entertainment, and Recreation",711,"Performing Arts, Spectator Sports, and Related Industries",7114,"Agents and Managers for Artists, Athletes, Entertainers, and Other Public Figures",71141,"Agents and Managers for Artists, Athletes, Entertainers, and Other Public Figures"
81,Other Services (except Public Administration),812,Personal and Laundry Services,8121,Personal Care Services,81211,"Hair, Nail, and Skin Care Services"
11,"Agriculture, Forestry, Fishing and Hunting",111,Crop Production,1111,Oilseed and Grain Farming,11119,Other Grain Farming
21,"Mining, Quarrying, and Oil and Gas Extraction",211,Oil and Gas Extraction,2111,Oil and Gas Extraction,21113,Natural Gas Extraction
22,Utilities,221,Utilities,2211,"Electric Power Generation, Transmission and Distribution",22112,"Electric Power Transmission, Control, and Distribution"
31,Manufacturing,311,Food Manufacturing,3119,Other Food Manufacturing,31191,Snack Food Manufacturing
31,Manufacturing,313,Textile Mills,3131,"Fiber, Yarn, and Thread Mills",31311,"Fiber, Yarn, and Thread Mills"
32,Manufacturing,322,Paper Manufacturing,3222,Converted Paper Product Manufacturing,32221,Paperboard Container Manufacturing
